"","sampleID","Age","Sex","BCS","Antibiotics","Glucocorticoids","Cobalamin","Folate","fPLI","fTLI","Group","SubGroup","NonGI_COMORBID","GI_COMORBID_HISTO","3-indoleacetic acid","3-indolepropionic acid","Indole acetamide","Indole acrylate","indole-3-lactic acid","Indole-3-pyruvate","Indole-carboxyaldehyde","Kynurenine","Kynurenic acid","Serotonin","Tryptamine","Trp"
"sam_1","sam_1",3,"FS",8,"NO","NO",NA,NA,NA,NA,"HC","HC","",NA,318.3,145.2,1.4,1411,335.7,1135.6,57.5,1048.7,10.9,557,"3.1",24021.8
"sam_2","sam_2",12,"FS",5,"NO","NO",1000,18.7,1.2,22.7,"HC","HC","",NA,180.8,124.4,1.4,907.2,248.4,1115.4,37.8,823.9,8.9,1439.3,"4.2",15443.8
"sam_3","sam_3",14,"FS",8,"NO","NO",814,17.2,2.9,39.7,"HC","HC","",NA,75.9,33.1,1.4,921.2,222.8,1175.8,39.6,1230.7,13.7,915.8,"3.7",17028.1
"sam_4","sam_4",9,"FS",8,"NO","NO",993,30.6,2.6,NA,"HC","HC","",NA,114,61.4,1.4,942.7,290.9,1169.6,43.5,1946.4,14.3,1268.8,"4.4",17899
"sam_5","sam_5",9,"FS",8,"NO","NO",1000,22.4,2.8,33.7,"HC","HC","",NA,200.7,24.8,1.5,867.6,195.3,1131.7,37.1,1587.5,11.6,985.5,"3.6",15485.2
"sam_6","sam_6",9,"FS",5,"NO","NO",1000,17.2,1.1,15.9,"HC","HC","",NA,123.7,54.7,1.4,754.1,235.4,1168.6,35.8,1020.3,11.1,308.7,"2.8",14846.2
"sam_7","sam_7",11,"MN",7,"NO","NO",311,15.9,2.2,46.2,"HC","HC","",NA,471.4,67,1.5,961.3,276,1113.5,39.3,1239.3,14,702.3,"3.4",16362.5
"sam_8","sam_8",11,"FS",5,"NO","NO",827,17.6,2.1,20.6,"HC","HC","",NA,697.9,107.4,1.4,716.8,330.9,1108.5,27.9,1116.7,12.3,355.5,"2.8",12186.8
"sam_9","sam_9",3,"MN",5,"NO","NO",1000,15.1,1.6,19.4,"HC","HC","",NA,151.8,43.5,1.6,1448.8,218.1,1144.7,60.5,976.8,4.6,805.8,"3.5",24956.5
"sam_10","sam_10",9,"MN",5,"NO","NO",1000,7.8,2,35.9,"HC","HC","",NA,80.5,43.5,1.3,1008.6,330.5,1146.8,46.2,889.3,7.7,833.6,"3.8",19430.5
